Data,Est.class,Peak,AR,Dimming
2011-9-4,M1,06:00,,50
2011-9-4,M3,11:48,,46
2011-9-4,C6,15:42,,33
2011-9-5,M1,04:34,,180
2011-9-5,C7,08:16,,161
2011-9-5,C3,11:42,,56
2011-9-5,C2,13:52,,51
2011-9-5,C1,00:10,,26
2011-9-6,M5,01:54,AR1283,29
2011-9-6,C3,02:20,,48
2011-9-6,C7,06:36,,105
2011-9-6,X4,22:22,AR1283,13
2011-9-6,M9,22:38,AR1283,8
2011-9-7,C1,20:12,AR1283,14
2011-9-7,X2,22:42,AR1283,51
2011-9-8,M7,15:48,AR1283,24
2011-9-8,C4,18:52,AR1289,18
2011-9-9,C2,00:18,AR1283,15
2011-9-9,M5,06:14,AR1283,21
2011-9-9,M1,12:52,AR1283,33
2011-9-9,C3,15:08,AR1283,41
2011-9-10,M1,07:48,AR1283,37
2011-9-10,C1,07:58,AR1289,15
2011-9-10,C1,17:30,AR1289,7
2011-9-11,C7,10:12,,63
2011-9-11,C2,13:32,AR1283,13
2011-9-11,C1,19:50,AR1283,8
2011-9-12,C2,03:32,,7
2011-9-12,C1,03:54,,16
2011-9-12,C5,06:08,,27
2011-9-12,C4,12:38,,39
2011-9-12,C1,16:28,,12
2011-9-12,M1,20:58,,65
2011-9-13,C3,13:02,,45
2011-9-14,C1,08:40,AR1290,8
2011-9-14,C2,11:30,AR1290,12
2011-9-14,C3,16:34,AR1290,33
2011-9-14,C2,16:44,AR1295,10
2011-9-14,C5,20:52,AR1290,97
2011-9-14,C2,22:10,AR1296,74
2011-9-15,C3,00:32,AR1297,10
2011-9-15,C1,01:32,AR1296,10
2011-9-15,C1,02:48,AR1297,26
2011-9-15,C3,16:36,AR1296,22
2011-9-15,C1,20:42,AR1296,10
2011-9-15,C2,21:16,AR1297,28
2011-9-15,C1,22:58,AR1296,22
2011-9-16,C6,00:54,AR1297,45
2011-9-16,C5,03:04,AR1296,25
2011-9-16,C7,05:04,AR1297,29
2011-9-16,C8,11:38,AR1290,13
2011-9-16,C2,17:24,AR1296,12
2011-9-18,C3,11:14,AR1295,64
2011-9-18,C1,15:56,AR1295,5
2011-9-19,C1,05:06,AR1296,8
2011-9-19,C2,08:40,AR1295,37
2011-9-19,C4,15:42,AR1301,8
2011-9-20,C4,05:14,,15
2011-9-20,C7,05:20,AR1296,17
2011-9-20,C1,20:00,AR1295,9
2011-9-21,C3,11:24,AR1301,10
2011-9-21,M2,12:42,,64
2011-9-21,C1,14:42,AR1295,7
2011-9-21,C1,19:26,AR1295,15
2011-9-21,C1,20:38,AR1295,6
2011-9-22,C6,04:36,AR1295,19
2011-9-22,C1,05:20,AR1295,13
2011-9-22,C2,05:56,,7
2011-9-22,C3,09:08,,32
2011-9-22,C9,10:06,AR1295,18
2011-9-22,X1,11:34,,167
2011-9-22,C5,15:42,,78
2011-9-22,C5,15:58,AR1295,20
2011-9-22,C2,20:24,AR1295,17
2011-9-22,C3,22:36,,13
2011-9-22,C3,23:26,AR1295,51
2011-9-22,C2,00:00,AR1295,9
2011-9-23,C7,00:36,AR1302,20
2011-9-23,M1,02:10,AR1295,53
2011-9-23,C1,02:56,AR1295,22
2011-9-23,C2,08:26,AR1295,18
2011-9-23,C4,09:22,AR1302,44
2011-9-23,C3,12:28,AR1296,24
2011-9-23,C1,16:42,AR1302,44
2011-9-23,C2,18:32,AR1302,21
2011-9-23,C1,19:14,AR1302,8
2011-9-23,C6,21:46,AR1302,9
2011-9-23,C2,22:20,AR1295,64
2011-9-23,M1,22:28,AR1302,55
2011-9-23,M2,00:00,AR1302,31
2011-9-24,C1,08:50,AR1295,13
2011-9-24,X1,09:44,AR1302,28
2011-9-24,C2,11:36,AR1302,12
2011-9-24,M4,13:36,AR1302,143
2011-9-24,C9,17:12,,46
2011-9-24,M2,18:06,AR1302,55
